Tone,Identity,Feature,Coefficient,SE,t,p,CI_lower,CI_upper
Weighted_Appreciative,Undisclosed,const,49.32636257155684,0.41719133107623557,118.23439006824228,0.0,48.50868258798509,50.14404255512859
Weighted_Appreciative,Undisclosed,gender_male,-0.28067120257020406,0.10658764019150173,-2.6332434235895774,0.008457370873903754,-0.4895791385426614,-0.07176326659774673
Weighted_Appreciative,Undisclosed,race_white,0.36449676152921573,0.11312464131102813,3.2220810365007733,0.0012726313560576879,0.14277653879558863,0.5862169842628429
Weighted_Appreciative,Undisclosed,region_west,0.8085582892089829,0.11973838683884486,6.752707386121849,1.45111421431941e-11,0.5738753634379221,1.0432412149800436
Weighted_Appreciative,Undisclosed,top_100,0.06680660449281149,0.10974452343976006,0.6087465907078484,0.5426924199584737,-0.14828870894962998,0.281901917935253
Weighted_Appreciative,Undisclosed,academic_age,-0.042792264723518984,0.005787586262709098,-7.393801626636741,1.426892422523371e-13,-0.05413572535584759,-0.03144880409119038
Weighted_Appreciative,Undisclosed,avg_c2,-0.005957143477370974,0.0033037494595202087,-1.8031462586258307,0.07136524789870231,-0.012432373431974252,0.0005180864772323041
Weighted_Appreciative,Undisclosed,work_count,0.0010023041359085436,0.0007666605362028122,1.3073636747664734,0.1910892281203781,-0.0005003229034171346,0.002504931175234222
Weighted_Appreciative,Undisclosed,source_nature,-1.672093565383675,0.1479812911171496,-11.299357863150144,1.3218096942806576e-29,-1.9621315663590253,-1.3820555644083248
Weighted_Appreciative,Undisclosed,pub_year_scaled,0.22920814244559135,0.033558444127278986,6.830118272952728,8.484465329416039e-12,0.16343480057892484,0.29498148431225785
Weighted_Appreciative,Undisclosed,days_received_to_accepted,-0.00045163239838677907,0.0004411252348875739,-1.0238190034670835,0.30592077275487695,-0.0013162219714381957,0.0004129571746646376
Weighted_Appreciative,Undisclosed,total_authors,-0.04188240723296836,0.013440590391529636,-3.1161136537099576,0.001832516300926828,-0.06822548033132156,-0.015539334134615175
Weighted_Appreciative,Undisclosed,word_count,-0.008638190124214793,0.000144178044160073,-59.913353482755554,0.0,-0.008920773898129963,-0.008355606350299624
Weighted_Appreciative,Undisclosed,field_Arts and Humanities,2.5260160572107484,1.001183463925385,2.5230301420549677,0.011634842770689323,0.5637325259999375,4.488299588421559
Weighted_Appreciative,Undisclosed,field_Agricultural and Biological Sciences,1.4945114011014358,0.23340927703358544,6.402964869671352,1.5238826654452402e-10,1.0370376244580763,1.9519851777447952
Weighted_Appreciative,Undisclosed,"field_Biochemistry, Genetics and Molecular Biology",-1.3841167247992658,0.15511326929031244,-8.92326447074448,4.527419304473405e-19,-1.688133146132541,-1.0801003034659906
Weighted_Appreciative,Undisclosed,"field_Business, Management and Accounting",2.407143748311945,0.5290793373889129,4.549683909773468,5.372655971275029e-06,1.3701673020653595,3.44412019455853
Weighted_Appreciative,Undisclosed,field_Chemistry,0.6805286122713192,0.48579118903908564,1.400866519661322,0.16125399224407178,-0.27160462225217774,1.6326618467948162
Weighted_Appreciative,Undisclosed,field_Computer Science,0.5518078567852873,0.3726062607830895,1.480940915017311,0.1386223188968609,-0.17848699476370722,1.282102708334282
Weighted_Appreciative,Undisclosed,field_Decision Sciences,-0.050462070046168706,0.6177955987196153,-0.08168085067415763,0.9349005064167605,-1.2613191933439742,1.160395053251637
Weighted_Appreciative,Undisclosed,field_Dentistry,0.4048721642635964,0.7961394769923605,0.508544263868329,0.6110717052038107,-1.1555325373119854,1.9652768658391782
Weighted_Appreciative,Undisclosed,field_Earth and Planetary Sciences,2.11151229977699,0.3239603114258743,6.517811674162832,7.134048002245602e-11,1.476561756961897,2.7464628425920834
Weighted_Appreciative,Undisclosed,"field_Economics, Econometrics and Finance",0.8307855591480676,0.3977180770328856,2.0888805591790427,0.036718476268623484,0.05127245216308507,1.6102986661330503
Weighted_Appreciative,Undisclosed,field_Engineering,-0.8878990036163574,0.23780445965054936,-3.7337357126149517,0.00018866046331592287,-1.3539871798944427,-0.4218108273382722
Weighted_Appreciative,Undisclosed,field_Environmental Science,2.2505057135308633,0.21478792842643202,10.477803524706436,1.0925161718834835e-25,1.8295291095010895,2.671482317560637
Weighted_Appreciative,Undisclosed,field_Health Professions,2.6755817777237274,0.3062060462305751,8.73784763776022,2.375936450389028e-18,2.0754289552633933,3.2757346001840615
Weighted_Appreciative,Undisclosed,field_Immunology and Microbiology,-0.8746853836490388,0.30008952632280567,-2.914748123225539,0.003559757123310395,-1.4628500473794226,-0.28652071991865513
