,Appreciative,Constructive,Questioning,Critical
Gender: Male,"0.033
(0.224)","0.234
(0.248)","0.017
(0.201)","0.418
(0.213)"
Race: White,"0.277
(0.253)","-0.297
(0.273)","-0.275
(0.221)","-0.288
(0.234)"
Affiliation rank: Top 100,"0.186
(0.254)","-0.471
(0.276)","0.485*
(0.227)","-0.464*
(0.231)"
Region: Western group,"0.366
(0.267)","-1.690***
(0.289)","-0.236
(0.233)","-1.289***
(0.247)"
Academic age,"-0.033**
(0.012)","-0.048***
(0.014)","-0.031**
(0.011)","-0.044***
(0.012)"
Number of prior publications,"-0.003
(0.002)","-0.003
(0.002)","-0.001
(0.002)","-0.002
(0.002)"
Average prior impact,"0.002
(0.006)","0.008
(0.006)","-0.005
(0.005)","0.002
(0.006)"
Source: Nature Comm.,"0.244
(0.448)","-4.999***
(0.483)","-2.245***
(0.393)","-2.839***
(0.419)"
Publication year (scaled),"0.390***
(0.080)","0.575***
(0.087)","-0.027
(0.071)","0.050
(0.075)"
Review duration (days),"0.001
(0.001)","0.003*
(0.001)","0.004***
(0.001)","0.008***
(0.001)"
Team size,"0.008
(0.031)","-0.005
(0.034)","0.067*
(0.028)","-0.030
(0.029)"
Review length (words),"-0.011***
(0.000)","-0.002***
(0.000)","0.000
(0.000)","-0.002***
(0.000)"
Reviewer identity disclosed,,,,
Tone covariate: Appreciative,,"-0.632***
(0.009)","-0.483***
(0.008)","-0.583***
(0.008)"
Tone covariate: Constructive,"-0.518***
(0.009)",,"-0.419***
(0.008)","-0.463***
(0.008)"
Tone covariate: Questioning,"-0.603***
(0.009)","-0.639***
(0.009)",,"-0.487***
(0.009)"
Tone covariate: Critical,"-0.642***
(0.009)","-0.623***
(0.010)","-0.430***
(0.009)",
