,Appreciative,Constructive,Questioning,Critical
Gender: Male,"-0.224*
(0.097)","-0.213
(0.110)","-0.137
(0.092)","0.109
(0.099)"
Race: White,"0.371***
(0.104)","0.079
(0.117)","0.085
(0.097)","-0.043
(0.105)"
Affiliation rank: Top 100,"0.070
(0.101)","-0.630***
(0.113)","0.096
(0.096)","-0.394***
(0.103)"
Region: Western group,"0.706***
(0.110)","-1.422***
(0.124)","-0.256*
(0.103)","-1.089***
(0.112)"
Academic age,"-0.041***
(0.005)","-0.058***
(0.006)","-0.048***
(0.005)","-0.057***
(0.005)"
Number of prior publications,"0.000
(0.001)","-0.000
(0.001)","0.002***
(0.001)","0.001
(0.001)"
Average prior impact,"-0.004
(0.003)","0.001
(0.003)","-0.004
(0.003)","-0.006
(0.003)"
Source: Nature Comm.,"-1.578***
(0.139)","-6.746***
(0.152)","-3.222***
(0.132)","-3.589***
(0.144)"
Publication year (scaled),"0.260***
(0.031)","0.446***
(0.035)","0.097**
(0.029)","-0.002
(0.032)"
Review duration (days),"-0.000
(0.000)","0.003***
(0.000)","0.003***
(0.000)","0.010***
(0.000)"
Team size,"-0.034**
(0.012)","-0.042**
(0.014)","0.025*
(0.012)","-0.054***
(0.013)"
Review length (words),"-0.009***
(0.000)","0.001***
(0.000)","0.002***
(0.000)","-0.001***
(0.000)"
Reviewer identity disclosed,"2.108***
(0.119)","1.661***
(0.132)","0.339**
(0.108)","-0.147
(0.116)"
Tone covariate: Appreciative,,"-0.577***
(0.005)","-0.476***
(0.004)","-0.604***
(0.004)"
Tone covariate: Constructive,"-0.447***
(0.004)",,"-0.410***
(0.004)","-0.484***
(0.004)"
Tone covariate: Questioning,"-0.529***
(0.004)","-0.588***
(0.004)",,"-0.506***
(0.004)"
Tone covariate: Critical,"-0.571***
(0.004)","-0.591***
(0.004)","-0.430***
(0.004)",
