,Appreciative,Constructive,Questioning,Critical
Gender: Male,"-0.281**
(0.107)","-0.337**
(0.123)","-0.176
(0.103)","0.024
(0.112)"
Race: White,"0.364**
(0.113)","0.164
(0.129)","0.171
(0.108)","0.021
(0.118)"
Affiliation rank: Top 100,"0.067
(0.110)","-0.639***
(0.124)","0.010
(0.106)","-0.364**
(0.115)"
Region: Western group,"0.809***
(0.120)","-1.347***
(0.138)","-0.260*
(0.116)","-1.013***
(0.126)"
Academic age,"-0.043***
(0.006)","-0.061***
(0.007)","-0.052***
(0.006)","-0.060***
(0.006)"
Number of prior publications,"0.001
(0.001)","0.001
(0.001)","0.003***
(0.001)","0.002*
(0.001)"
Average prior impact,"-0.006
(0.003)","-0.002
(0.003)","-0.003
(0.003)","-0.009*
(0.004)"
Source: Nature Comm.,"-1.672***
(0.148)","-6.938***
(0.162)","-3.341***
(0.143)","-3.786***
(0.156)"
Publication year (scaled),"0.229***
(0.034)","0.416***
(0.038)","0.124***
(0.032)","-0.018
(0.036)"
Review duration (days),"-0.000
(0.000)","0.003***
(0.000)","0.003***
(0.000)","0.010***
(0.000)"
Team size,"-0.042**
(0.013)","-0.048**
(0.015)","0.016
(0.013)","-0.059***
(0.014)"
Review length (words),"-0.009***
(0.000)","0.001***
(0.000)","0.003***
(0.000)","-0.001***
(0.000)"
Reviewer identity disclosed,,,,
Tone covariate: Appreciative,,"-0.559***
(0.005)","-0.474***
(0.004)","-0.612***
(0.004)"
Tone covariate: Constructive,"-0.423***
(0.005)",,"-0.407***
(0.004)","-0.490***
(0.004)"
Tone covariate: Questioning,"-0.505***
(0.005)","-0.574***
(0.005)",,"-0.511***
(0.005)"
Tone covariate: Critical,"-0.549***
(0.005)","-0.582***
(0.005)","-0.430***
(0.005)",
