Identity,Full Data,Full Data,Full Data,Full Data,Undisclosed,Undisclosed,Undisclosed,Undisclosed,Disclosed,Disclosed,Disclosed,Disclosed
Tone,Appreciative,Constructive,Questioning,Critical,Appreciative,Constructive,Questioning,Critical,Appreciative,Constructive,Questioning,Critical
Gender: Male,"-0.224*
(0.097)","-0.213
(0.110)","-0.137
(0.092)","0.109
(0.099)","-0.281**
(0.107)","-0.337**
(0.123)","-0.176
(0.103)","0.024
(0.112)","0.033
(0.224)","0.234
(0.248)","0.017
(0.201)","0.418
(0.213)"
Race: White,"0.371***
(0.104)","0.079
(0.117)","0.085
(0.097)","-0.043
(0.105)","0.364**
(0.113)","0.164
(0.129)","0.171
(0.108)","0.021
(0.118)","0.277
(0.253)","-0.297
(0.273)","-0.275
(0.221)","-0.288
(0.234)"
Affiliation rank: Top 100,"0.070
(0.101)","-0.630***
(0.113)","0.096
(0.096)","-0.394***
(0.103)","0.067
(0.110)","-0.639***
(0.124)","0.010
(0.106)","-0.364**
(0.115)","0.186
(0.254)","-0.471
(0.276)","0.485*
(0.227)","-0.464*
(0.231)"
Region: Western group,"0.706***
(0.110)","-1.422***
(0.124)","-0.256*
(0.103)","-1.089***
(0.112)","0.809***
(0.120)","-1.347***
(0.138)","-0.260*
(0.116)","-1.013***
(0.126)","0.366
(0.267)","-1.690***
(0.289)","-0.236
(0.233)","-1.289***
(0.247)"
Academic age,"-0.041***
(0.005)","-0.058***
(0.006)","-0.048***
(0.005)","-0.057***
(0.005)","-0.043***
(0.006)","-0.061***
(0.007)","-0.052***
(0.006)","-0.060***
(0.006)","-0.033**
(0.012)","-0.048***
(0.014)","-0.031**
(0.011)","-0.044***
(0.012)"
Number of prior publications,"0.000
(0.001)","-0.000
(0.001)","0.002***
(0.001)","0.001
(0.001)","0.001
(0.001)","0.001
(0.001)","0.003***
(0.001)","0.002*
(0.001)","-0.003
(0.002)","-0.003
(0.002)","-0.001
(0.002)","-0.002
(0.002)"
Average prior impact,"-0.004
(0.003)","0.001
(0.003)","-0.004
(0.003)","-0.006
(0.003)","-0.006
(0.003)","-0.002
(0.003)","-0.003
(0.003)","-0.009*
(0.004)","0.002
(0.006)","0.008
(0.006)","-0.005
(0.005)","0.002
(0.006)"
Source: Nature Comm.,"-1.578***
(0.139)","-6.746***
(0.152)","-3.222***
(0.132)","-3.589***
(0.144)","-1.672***
(0.148)","-6.938***
(0.162)","-3.341***
(0.143)","-3.786***
(0.156)","0.244
(0.448)","-4.999***
(0.483)","-2.245***
(0.393)","-2.839***
(0.419)"
Publication year (scaled),"0.260***
(0.031)","0.446***
(0.035)","0.097**
(0.029)","-0.002
(0.032)","0.229***
(0.034)","0.416***
(0.038)","0.124***
(0.032)","-0.018
(0.036)","0.390***
(0.080)","0.575***
(0.087)","-0.027
(0.071)","0.050
(0.075)"
Review duration (days),"-0.000
(0.000)","0.003***
(0.000)","0.003***
(0.000)","0.010***
(0.000)","-0.000
(0.000)","0.003***
(0.000)","0.003***
(0.000)","0.010***
(0.000)","0.001
(0.001)","0.003*
(0.001)","0.004***
(0.001)","0.008***
(0.001)"
Team size,"-0.034**
(0.012)","-0.042**
(0.014)","0.025*
(0.012)","-0.054***
(0.013)","-0.042**
(0.013)","-0.048**
(0.015)","0.016
(0.013)","-0.059***
(0.014)","0.008
(0.031)","-0.005
(0.034)","0.067*
(0.028)","-0.030
(0.029)"
Review length (words),"-0.009***
(0.000)","0.001***
(0.000)","0.002***
(0.000)","-0.001***
(0.000)","-0.009***
(0.000)","0.001***
(0.000)","0.003***
(0.000)","-0.001***
(0.000)","-0.011***
(0.000)","-0.002***
(0.000)","0.000
(0.000)","-0.002***
(0.000)"
Reviewer identity disclosed,"2.108***
(0.119)","1.661***
(0.132)","0.339**
(0.108)","-0.147
(0.116)",,,,,,,,
Tone covariate: Appreciative,,"-0.577***
(0.005)","-0.476***
(0.004)","-0.604***
(0.004)",,"-0.559***
(0.005)","-0.474***
(0.004)","-0.612***
(0.004)",,"-0.632***
(0.009)","-0.483***
(0.008)","-0.583***
(0.008)"
Tone covariate: Constructive,"-0.447***
(0.004)",,"-0.410***
(0.004)","-0.484***
(0.004)","-0.423***
(0.005)",,"-0.407***
(0.004)","-0.490***
(0.004)","-0.518***
(0.009)",,"-0.419***
(0.008)","-0.463***
(0.008)"
Tone covariate: Questioning,"-0.529***
(0.004)","-0.588***
(0.004)",,"-0.506***
(0.004)","-0.505***
(0.005)","-0.574***
(0.005)",,"-0.511***
(0.005)","-0.603***
(0.009)","-0.639***
(0.009)",,"-0.487***
(0.009)"
Tone covariate: Critical,"-0.571***
(0.004)","-0.591***
(0.004)","-0.430***
(0.004)",,"-0.549***
(0.005)","-0.582***
(0.005)","-0.430***
(0.005)",,"-0.642***
(0.009)","-0.623***
(0.010)","-0.430***
(0.009)",
