FeatureLabel,Identity,Tone,Coefficient,SE,p,Formatted
Gender: Male,Disclosed,Weighted_Appreciative,0.0334482213714774,0.2238459922916258,0.8812181662780807,"0.033
(0.224)"
Race: White,Disclosed,Weighted_Appreciative,0.2767839170621646,0.2534969678760264,0.2748933970339726,"0.277
(0.253)"
Region: Western group,Disclosed,Weighted_Appreciative,0.3658416820832246,0.2666267970466247,0.1700287444229236,"0.366
(0.267)"
Affiliation rank: Top 100,Disclosed,Weighted_Appreciative,0.1863360330620921,0.2537934808436378,0.4628247899452604,"0.186
(0.254)"
Academic age,Disclosed,Weighted_Appreciative,-0.0331245285834161,0.0124738451360043,0.0079186551189495,"-0.033**
(0.012)"
Average prior impact,Disclosed,Weighted_Appreciative,0.0022869154053995,0.0060417680997998,0.7050461408766892,"0.002
(0.006)"
Number of prior publications,Disclosed,Weighted_Appreciative,-0.0032133714788918,0.0017726019571558,0.0698627913990155,"-0.003
(0.002)"
Source: Nature Comm.,Disclosed,Weighted_Appreciative,0.2441462334144338,0.4476708130020373,0.5854990658821597,"0.244
(0.448)"
Publication year (scaled),Disclosed,Weighted_Appreciative,0.3904433331967044,0.0803170499734037,1.1663161004815405e-06,"0.390***
(0.080)"
Review duration (days),Disclosed,Weighted_Appreciative,0.0007430965937473,0.0009423676795391,0.4303796801964216,"0.001
(0.001)"
Team size,Disclosed,Weighted_Appreciative,0.0078067249769339,0.030733700423772,0.7994863813180244,"0.008
(0.031)"
Review length (words),Disclosed,Weighted_Appreciative,-0.0106732865789001,0.0002958362105246,4.9545900180603344e-285,"-0.011***
(0.000)"
Tone covariate: Constructive,Disclosed,Weighted_Appreciative,-0.5175827716235378,0.0090979310239213,0.0,"-0.518***
(0.009)"
Tone covariate: Questioning,Disclosed,Weighted_Appreciative,-0.6031147478660586,0.008956199623075,0.0,"-0.603***
(0.009)"
Tone covariate: Critical,Disclosed,Weighted_Appreciative,-0.6424440927104178,0.009134073026977,0.0,"-0.642***
(0.009)"
Gender: Male,Disclosed,Weighted_Constructive,0.2340455166374857,0.2480383596722431,0.3453812636397975,"0.234
(0.248)"
Race: White,Disclosed,Weighted_Constructive,-0.2965938595847802,0.2730415067887943,0.2773643148207617,"-0.297
(0.273)"
Region: Western group,Disclosed,Weighted_Constructive,-1.6897483574533745,0.2887000779366849,4.829169073835449e-09,"-1.690***
(0.289)"
Affiliation rank: Top 100,Disclosed,Weighted_Constructive,-0.470617163475964,0.2763311836607476,0.0885510321117273,"-0.471
(0.276)"
Academic age,Disclosed,Weighted_Constructive,-0.0476538659000279,0.0138985400469885,0.0006064888846586,"-0.048***
(0.014)"
